order_id,product_id,customer_id,amount,status,order_date
1,47,241,45434943.0,cancelled,2023-07-12
2,33,173,30719853.0,cancelled,2024-06-09
3,5,425,33648183.0,cancelled,2023-04-24
4,9,410,7591352.0,completed,2023-06-22
5,41,123,12435765.0,completed,2023-02-22
6,35,295,49953598.0,completed,2023-08-03
7,45,411,5706623.0,shipped,2023-04-29
8,2,475,39694029.0,cancelled,2024-05-23
9,5,1,5511256.0,returned,2024-10-12
10,6,385,27596452.0,completed,2024-10-09
11,32,384,39171786.0,shipped,2024-11-13
12,39,381,32629733.0,cancelled,2023-01-30
13,35,442,43820164.0,shipped,2023-07-06
14,22,326,42072016.0,returned,2023-12-19
15,27,175,31618388.0,returned,2023-11-09
16,33,136,26669806.0,cancelled,2023-10-12
17,7,5,30584960.0,cancelled,2024-01-15
18,38,269,18535020.0,cancelled,2024-06-01
19,36,465,19317457.0,returned,2023-10-27
20,23,96,7202469.0,returned,2023-03-24
21,20,98,19714365.0,returned,2024-03-10
22,1,367,21306493.0,pending,2024-01-24
23,32,55,49003503.0,completed,2023-01-26
24,2,242,15719912.0,completed,2024-05-10
25,30,448,48164820.0,shipped,2024-03-02
26,27,7,42937457.0,completed,2023-10-18
27,14,150,43276144.0,shipped,2023-09-16
28,40,295,6310174.0,returned,2024-04-19
29,44,251,30616703.0,returned,2024-12-25
30,24,41,21841761.0,completed,2024-02-22
31,44,466,49460138.0,completed,2023-08-07
32,14,255,38252931.0,returned,2023-08-07
33,21,313,25897942.0,pending,2023-12-14
34,44,166,2035708.0,cancelled,2024-03-02
35,43,77,921420.0,cancelled,2023-12-08
36,35,349,44706869.0,shipped,2023-06-13
37,37,284,10407123.0,pending,2024-02-03
38,11,234,4929122.0,returned,2024-04-13
39,40,128,1729187.0,shipped,2024-01-30
40,48,269,1592836.0,completed,2023-04-22
41,37,374,47779729.0,returned,2024-02-16
42,4,128,29852763.0,cancelled,2024-10-02
43,8,85,25982908.0,shipped,2023-01-31
44,13,415,25427714.0,completed,2023-05-27
45,10,61,18729235.0,shipped,2024-08-13
46,4,321,15511863.0,returned,2023-08-03
47,24,65,45149034.0,cancelled,2023-03-01
48,35,165,36771090.0,shipped,2024-06-02
49,37,287,19391025.0,shipped,2024-09-13
50,40,362,9500727.0,shipped,2024-02-01
51,1,194,18503796.0,returned,2023-04-16
52,1,254,32373368.0,pending,2024-04-20
53,46,12,44746336.0,cancelled,2024-05-04
54,10,6,42117024.0,pending,2024-09-08
55,15,6,30097347.0,returned,2023-02-13
56,9,396,31279585.0,pending,2024-06-16
57,29,364,5291611.0,shipped,2023-06-17
58,21,279,39032093.0,shipped,2024-03-18
59,36,320,25049518.0,completed,2023-08-24
60,31,127,8848423.0,shipped,2023-01-20
61,47,45,19820787.0,pending,2024-03-28
62,49,321,27537605.0,cancelled,2023-02-20
63,2,339,43069900.0,completed,2023-11-20
64,22,160,7050315.0,cancelled,2024-03-21
65,32,289,30971281.0,pending,2023-09-05
66,23,165,37867941.0,returned,2023-01-26
67,18,401,11779650.0,completed,2024-03-08
68,8,264,41920239.0,shipped,2024-04-12
69,20,489,10116978.0,returned,2024-10-05
70,3,251,17920025.0,cancelled,2024-11-12
71,16,480,4529373.0,completed,2024-06-02
72,34,143,9922384.0,shipped,2023-02-14
73,44,208,23934281.0,cancelled,2024-10-27
74,18,486,29693371.0,shipped,2024-01-02
75,43,106,3727088.0,returned,2023-03-06
76,5,423,7690326.0,shipped,2024-12-05
77,35,210,44767923.0,cancelled,2023-09-02
78,50,472,15378889.0,pending,2024-12-06
79,19,208,27722894.0,shipped,2024-12-07
80,18,286,29491765.0,returned,2023-12-17
81,9,251,41098189.0,completed,2023-03-09
82,38,225,42141364.0,completed,2024-11-24
83,10,140,20508290.0,completed,2024-09-29
84,37,346,8780285.0,pending,2023-10-04
85,22,431,7429310.0,completed,2023-08-23
86,40,459,38571678.0,shipped,2024-04-30
87,20,347,14047406.0,cancelled,2023-03-11
88,47,165,8868410.0,completed,2024-07-31
89,17,89,49229046.0,returned,2023-02-04
90,2,441,27481160.0,completed,2024-03-06
91,21,25,48331515.0,returned,2023-11-25
92,50,4,18539536.0,shipped,2024-08-09
93,47,190,35878973.0,shipped,2024-07-23
94,43,73,12103808.0,cancelled,2024-09-17
95,21,303,14075858.0,shipped,2023-12-19
96,16,186,43235137.0,shipped,2023-12-02
97,17,387,4585977.0,returned,2023-01-21
98,17,443,42959110.0,cancelled,2023-12-22
99,13,487,20285409.0,pending,2023-01-09
100,24,408,36645120.0,pending,2023-05-28
101,48,363,24513891.0,cancelled,2024-08-16
102,11,334,44096773.0,pending,2023-09-26
103,18,25,2135902.0,pending,2024-12-03
104,10,477,48502074.0,returned,2024-02-18
105,33,210,45410960.0,returned,2023-03-26
106,2,204,29754832.0,returned,2024-07-06
107,22,343,33723074.0,pending,2024-02-18
108,6,105,15530659.0,cancelled,2024-09-16
109,18,71,26970318.0,cancelled,2023-07-01
110,2,240,29210275.0,cancelled,2024-12-26
111,8,84,8931917.0,returned,2024-09-06
112,22,198,36509615.0,cancelled,2024-07-06
113,45,159,6157258.0,cancelled,2023-07-07
114,41,70,17356980.0,pending,2023-04-26
115,38,237,21979350.0,returned,2024-07-10
116,49,121,10621037.0,shipped,2024-03-11
117,42,459,41871974.0,cancelled,2023-04-09
118,1,400,29490844.0,cancelled,2024-06-04
119,27,201,11831776.0,completed,2024-05-21
120,33,334,19916238.0,returned,2023-09-30
121,23,329,8203443.0,shipped,2023-07-26
122,2,494,23878010.0,returned,2023-12-07
123,9,489,29419402.0,returned,2024-02-26
